ID,item_cnt_month
0,0.39267558
1,0.118781894
2,0.72860694
3,0.15241651
4,0.118781894
5,0.439195
6,0.94893265
7,0.118420795
8,0.77014375
9,0.118781894
10,2.5331943
11,0.20324786
12,0.11236094
13,0.2746094
14,1.5396277
15,2.4477892
16,0.118781894
17,0.11603584
18,1.1905597
19,0.10274057
20,0.58970827
21,0.118781894
22,0.86103296
23,0.65559113
24,1.37172
25,0.118781894
26,0.118781894
27,0.41564807
28,0.76914597
29,3.1219327
30,0.31597382
31,0.118781894
32,0.36091858
33,0.55905986
34,0.11016017
35,0.11332241
36,0.119573906
37,0.40766928
38,0.20531817
39,0.12086834
40,0.5457066
41,0.8579185
42,3.2354198
43,3.220675
44,0.33056223
45,0.118781894
46,0.47601467
47,0.15563297
48,0.2083354
49,0.85003674
50,1.2177242
51,0.20324786
52,0.6056121
53,0.15704377
54,5.5931315
55,2.7101262
56,2.1295383
57,1.9236847
58,5.150534
59,3.9550784
60,4.569841
61,0.4114967
62,0.3077886
63,0.3357761
64,0.118781894
65,0.118781894
66,0.70044816
67,0.11381495
68,0.33056223
69,0.123543605
70,0.118781894
71,1.6139715
72,0.4429691
73,0.74824655
74,0.118781894
75,0.118781894
76,0.3292865
77,0.118781894
78,0.2828076
79,0.5301975
80,0.77500224
81,3.1570246
82,0.65575707
83,0.18609479
84,0.80178916
85,1.0801947
86,0.5525346
87,0.1109162
88,3.3430364
89,1.0734609
90,0.73213065
91,0.35359418
92,1.9941765
93,0.15241651
94,0.21024352
95,0.11025141
96,0.11381495
97,0.38850546
98,0.5698843
99,1.1611276
100,1.5620773
101,0.6259007
102,0.19726208
103,0.35359418
104,0.10949494
105,0.118781894
106,0.118781894
107,0.48848158
108,0.11359036
109,0.118781894
110,0.18743847
111,0.118781894
112,0.118781894
113,0.118781894
114,0.24716678
115,0.23480248
116,0.118781894
117,0.124376595
118,8.182134
119,0.12535992
120,0.10345651
121,0.10819399
122,0.32879287
123,0.44372234
124,0.44743463
125,1.1113153
126,0.118781894
127,0.10970709
128,0.118781894
129,0.20663694
130,0.35359418
131,0.118781894
132,0.35359418
133,2.7208476
134,0.10663815
135,0.35359418
136,0.20324786
137,0.118781894
138,0.86310554
139,0.118781894
140,0.18158457
141,0.43017262
142,0.124595396
143,0.20324786
144,0.118781894
145,0.118781894
146,0.118781894
147,0.14106251
148,0.118781894
149,0.118781894
150,0.117866755
151,0.118781894
152,5.359996
153,0.23858166
154,0.118781894
155,0.16447161
156,0.18781608
157,0.113159396
158,0.15361041
159,0.3553813
160,0.118781894
161,0.20324786
162,0.118781894
163,0.40463412
164,0.3121594
165,0.11947076
166,0.50181246
167,0.117880434
168,0.118781894
169,0.118940175
170,0.20324786
171,0.42422122
172,0.33366758
173,1.0922232
174,1.470836
175,3.3278234
176,1.1572205
177,0.118781894
178,0.43207318
179,0.11714241
180,0.9309696
181,0.36356866
182,0.118781894
183,0.1259893
184,0.19871174
185,0.118781894
186,0.11444284
187,0.15263194
188,0.118781894
189,0.118781894
190,0.118781894
191,0.5126444
192,0.5457066
193,0.1371791
194,0.113159396
195,0.13871355
196,0.35359418
197,2.385386
198,1.069827
199,0.118781894
200,0.118781894
201,0.118781894
202,0.15918325
203,1.0593541
204,0.11860905
205,0.118781894
206,0.118781894
207,0.1136653
208,1.2595961
209,0.469018
210,0.20059341
211,0.12426153
212,0.11004344
213,0.35359418
214,0.11910689
215,0.46364826
216,0.4037635
217,0.18352598
218,1.949738
219,0.3955201
220,0.37785748
221,0.118781894
222,0.118781894
223,0.68914604
224,2.366609
225,0.31858543
226,0.3660566
227,0.118781894
228,0.1923387
229,0.118781894
230,0.118781894
231,0.44428948
232,0.118781894
233,0.33891118
234,0.118781894
235,0.14408337
236,0.17380457
237,0.34345424
238,0.35359418
239,0.2075699
240,0.7581463
241,0.10465778
242,0.118781894
243,0.118781894
244,0.118781894
245,0.20990364
246,1.5808915
247,0.37866765
248,0.35912514
249,0.11495361
250,0.66235137
251,0.15602563
252,0.21757519
253,0.89311516
254,0.31554282
255,5.359996
256,0.118781894
257,0.15313813
258,0.4296227
259,0.1996726
260,0.105695024
261,0.11994125
262,0.19109684
263,0.118781894
264,0.10235025
265,0.3948605
266,0.118781894
267,0.20324786
268,0.11332241
269,0.12105611
270,0.9382286
271,0.11876042
272,0.1595779
273,0.6259007
274,10.959428
275,0.118781894
276,0.35359418
277,1.2865419
278,0.35588095
279,0.17319766
280,0.16976191
281,0.15229821
282,0.119037755
283,0.6758822
284,0.16976191
285,0.21742505
286,0.118781894
287,0.81354
288,0.2146223
289,0.35359418
290,0.118781894
291,0.11673869
292,0.22909199
293,0.12905319
294,0.7290338
295,0.7940353
296,0.1563461
297,0.13551517
298,0.118781894
299,0.118781894
300,0.1185876
301,0.46549776
302,0.7507057
303,0.6747129
304,0.113159396
305,0.1136653
306,0.18583086
307,0.15471007
308,0.23818725
309,0.118781894
310,0.118781894
311,0.35019803
312,0.76965356
313,0.17319766
314,0.118781894
315,0.35359418
316,0.13199855
317,1.9782038
318,0.109919384
319,0.15582035
320,0.118781894
321,0.113013394
322,0.6547024
323,0.13160926
324,0.3756572
325,0.41314986
326,0.34271562
327,0.118781894
328,0.118781894
329,0.34694725
330,0.118781894
331,0.118781894
332,0.14739423
333,0.22058706
334,0.83696926
335,0.24007377
336,0.11928366
337,0.71418667
338,0.35835928
339,0.3490942
340,0.12110809
341,0.20223135
342,0.118781894
343,0.9345975
344,0.1137123
345,0.12586395
346,4.0278897
347,3.3319352
348,0.11445035
349,0.24852338
350,0.118781894
351,0.42982844
352,0.118781894
353,0.1263659
354,0.118781894
355,0.118781894
356,0.35359418
357,0.7290338
358,0.5233724
359,0.35359418
360,0.15241651
361,3.0825417
362,0.6259007
363,0.83696926
364,0.44450673
365,0.45908767
366,0.118781894
367,0.118781894
368,0.118781894
369,0.16449985
370,0.118781894
371,0.35359418
372,0.6259007
373,0.118781894
374,1.2186424
375,2.2001843
376,0.3954171
377,0.21742505
378,0.37806064
379,0.118781894
380,2.6690743
381,0.45908767
382,0.4470946
383,0.118781894
384,1.5242705
385,0.3626288
386,0.4454383
387,0.118781894
388,0.15321714
389,0.106946506
390,0.118781894
391,0.13245632
392,0.16795932
393,0.33788377
394,0.118781894
395,0.118781894
396,1.8255157
397,0.26305804
398,0.118781894
399,0.37999827
400,0.118781894
401,0.40060854
402,1.4794
403,2.3197463
404,0.34167904
405,0.12502277
406,0.13405842
407,0.113145486
408,0.11907925
409,0.118781894
410,0.118781894
411,0.9660871
412,0.113084786
413,0.17251432
414,0.118781894
415,4.1487494
416,0.118781894
417,0.118781894
418,0.118781894
419,0.118781894
420,0.33223525
421,1.2626139
422,0.35359418
423,0.89965415
424,0.1244624
425,0.15617633
426,0.118781894
427,0.118781894
428,0.94650114
429,0.39397115
430,0.7431053
431,0.57835877
432,0.1111277
433,0.118781894
434,0.10925302
435,0.7524433
436,0.12492807
437,0.77815974
438,0.5167501
439,0.6105622
440,0.1356773
441,0.16182303
442,0.20324786
443,0.16940708
444,0.1244624
445,0.3023097
446,0.20146213
447,0.19560635
448,0.35359418
449,0.5500243
450,0.35359418
451,0.17376573
452,0.14941132
453,0.20179813
454,0.35097644
455,0.16099782
456,0.36532727
457,0.118781894
458,0.44454172
459,0.4794235
460,16.79249
461,1.1399974
462,0.35359418
463,0.56377083
464,0.40607902
465,0.118781894
466,0.118781894
467,0.118781894
468,0.118781894
469,0.2597487
470,0.35359418
471,0.28387782
472,0.15241651
473,0.118781894
474,0.9309696
475,1.2626139
476,0.118781894
477,0.108258404
478,0.11948369
479,0.118781894
480,0.118781894
481,0.118781894
482,0.12014416
483,0.35359418
484,0.83604157
485,0.3983493
486,0.48494786
487,0.12154789
488,0.118781894
489,2.249096
490,0.16039959
491,0.118781894
492,0.3426873
493,0.118781894
494,0.33985257
495,0.11311256
496,0.13245632
497,0.118781894
498,5.0770407
499,0.118781894
500,0.118781894
501,0.47546956
502,0.3937906
503,0.118781894
504,0.9974663
505,0.56560624
506,0.7656399
507,0.12998517
508,0.7855481
509,0.2678299
510,0.14433376
511,0.109026104
512,0.20446871
513,0.118781894
514,0.1111277
515,0.118781894
516,0.20324786
517,0.48725381
518,0.79481685
519,0.43343973
520,0.3373223
521,0.34052587
522,0.54959494
523,1.2078193
524,0.15241651
525,0.43863386
526,0.24181032
527,0.14739665
528,0.113159396
529,0.11107841
530,0.118781894
531,0.5141816
532,0.112911806
533,0.10485388
534,0.118781894
535,0.10579847
536,0.118781894
537,0.11928435
538,0.6038462
539,0.14637637
540,1.1550881
541,0.118781894
542,0.20250359
543,0.12658305
544,0.11381495
545,0.118781894
546,0.3503564
547,0.12191702
548,0.11714241
549,0.11922215
550,0.118781894
551,0.22938195
552,0.5129109
553,0.122410685
554,0.11994125
555,0.2931437
556,0.12582888
557,0.16976191
558,0.118781894
559,0.13221322
560,0.23662946
561,0.6464137
562,0.10956599
563,0.118781894
564,0.118781894
565,0.12410745
566,0.14788035
567,0.118781894
568,0.17408699
569,0.11189095
570,0.118781894
571,0.118781894
572,0.7290338
573,0.21960425
574,0.118781894
575,0.118781894
576,0.2228203
577,0.118781894
578,0.118781894
579,0.35201466
580,0.118781894
581,0.118781894
582,0.118781894
583,0.118781894
584,0.759508
585,0.10631998
586,0.118781894
587,0.41509932
588,2.3181925
589,0.14561939
590,0.44954517
591,0.2686101
592,2.1937761
593,0.12016218
594,0.12700295
595,0.1592288
596,0.14389744
597,0.118781894
598,0.11984639
599,0.118781894
600,0.11594959
601,0.14290452
602,0.118781894
603,0.11332241
604,0.19888316
605,0.10609021
606,0.112902075
607,0.118781894
608,0.11236859
609,0.3381889
610,0.31489137
611,0.5790398
612,0.118781894
613,0.118781894
614,0.118781894
615,0.75720274
