id,target
300000,0.46364978
300001,0.7322167
300002,0.3330119
300003,0.6058812
300004,0.8321666
300005,0.40251634
300006,0.5773002
300007,0.35679254
300008,0.6268108
300009,0.6427988
300010,0.5747561
300011,0.611109
300012,0.6155883
300013,0.6057437
300014,0.45122057
300015,0.63402647
300016,0.26079467
300017,0.7107045
300018,0.52237916
300019,0.75212324
300020,0.53397745
300021,0.6446855
300022,0.2767527
300023,0.15240553
300024,0.3802189
300025,0.15566619
300026,0.2650433
300027,0.16745089
300028,0.22396214
300029,0.8024356
300030,0.34991187
300031,0.33311972
300032,0.47814584
300033,0.315581
300034,0.2739314
300035,0.53806716
300036,0.35244316
300037,0.2572956
300038,0.56986433
300039,0.80011153
300040,0.37290907
300041,0.35308972
300042,0.35219753
300043,0.5801126
300044,0.5657792
300045,0.36209294
300046,0.2297497
300047,0.6019617
300048,0.7063569
300049,0.39418638
300050,0.24223277
300051,0.73345464
300052,0.24339204
300053,0.23608415
300054,0.7478894
300055,0.3445196
300056,0.27784368
300057,0.2947232
300058,0.55044603
300059,0.58818436
300060,0.3869789
300061,0.7103183
300062,0.4408319
300063,0.63901556
300064,0.15958244
300065,0.66749686
300066,0.44940597
300067,0.5408341
300068,0.4944673
300069,0.7827715
300070,0.682791
300071,0.51842856
300072,0.37187305
300073,0.50911134
300074,0.46542227
300075,0.5469143
300076,0.64431643
300077,0.39602336
300078,0.52201617
300079,0.3045772
300080,0.14950937
300081,0.37649927
300082,0.8728729
300083,0.49276304
300084,0.5224261
300085,0.3565559
300086,0.40051374
300087,0.46777576
300088,0.45942444
300089,0.2904466
300090,0.68932915
300091,0.6502069
300092,0.4481602
300093,0.40857196
300094,0.507273
300095,0.39952716
300096,0.2645052
300097,0.5060433
300098,0.23104855
300099,0.23994371
300100,0.43337417
300101,0.77877074
300102,0.46778435
300103,0.3374113
300104,0.569246
300105,0.46746692
300106,0.53931916
300107,0.35575882
300108,0.653502
300109,0.5429695
300110,0.36428988
300111,0.07441658
300112,0.55800885
300113,0.72236264
300114,0.3068096
300115,0.39625847
300116,0.76998186
300117,0.6065409
300118,0.5588328
300119,0.45407706
300120,0.45991662
300121,0.6390768
300122,0.4803541
300123,0.56952167
300124,0.42955333
300125,0.43186286
300126,0.46989843
300127,0.6595044
300128,0.44985813
300129,0.7457186
300130,0.48052305
300131,0.42506894
300132,0.4144435
300133,0.63394314
300134,0.7024799
300135,0.2594358
300136,0.11932669
300137,0.73172957
300138,0.87642556
300139,0.45004237
300140,0.56396604
300141,0.094279386
300142,0.24894217
300143,0.6123899
300144,0.5776584
300145,0.48397142
300146,0.7800306
300147,0.36292297
300148,0.28524673
300149,0.28189087
300150,0.23623127
300151,0.15975791
300152,0.32678923
300153,0.5689237
300154,0.43135548
300155,0.40250695
300156,0.66259104
300157,0.1729076
300158,0.5970905
300159,0.30148834
300160,0.4697435
300161,0.48136947
300162,0.40232214
300163,0.3925904
300164,0.53840566
300165,0.4875394
300166,0.10222639
300167,0.39528662
300168,0.33549452
300169,0.55309796
300170,0.6512494
300171,0.89547896
300172,0.25435466
300173,0.23214793
300174,0.15563086
300175,0.65151536
300176,0.3843656
300177,0.7961381
300178,0.30934387
300179,0.6329766
300180,0.49902248
300181,0.5265148
300182,0.89036864
300183,0.8332836
300184,0.61768335
300185,0.4757136
300186,0.44552073
